Start Timestamp,End Timestamp,Dialogue
"00:20:26,825","00:20:30,348","Right now John. The stock trades over the counter at ten cents a share,"
"00:20:30,548","00:20:31,548","And, by the way John..."
"00:20:31,748","00:20:34,905","Our analyst indicates, it could go a heck of a lot higher after that."
"00:20:35,105","00:20:36,105","Your profit,"
"00:20:36,305","00:20:39,081","on a mere six thousand dollar investment would be, upwards of.."
"00:20:39,281","00:20:40,966",..sixty thousand dollars!
"00:20:41,166","00:20:44,750","Jesus! That's my morgage man! - Exactly, you could pay off your morgage."
"00:20:44,950","00:20:47,748","John, one thing I can promise you."
"00:20:47,948","00:20:48,948","Even in this market,"
"00:20:49,148","00:20:52,414",Is that I never ask my clients to judge me on my winners.
"00:20:52,614","00:20:56,153","I ask them to judge me on my losers. Because, they I have so few."
"00:20:56,353","00:20:57,353","And in the case of Aerotyne,"
"00:20:57,553","00:21:00,888","Based on every technical factor out there, John."
"00:21:01,088","00:21:03,978",We are looking at a Grand Slam home run.
"00:21:06,398","00:21:09,191","<i>I'll do four grand.</i> Four thousand, that'd be 40 thousand shares, John."
"00:21:09,391","00:21:10,391","Let me lock in on that trade now,"
"00:21:10,591","00:21:13,585",and get back to you with my secretary with an exact confirmation.
"00:21:13,785","00:21:15,407","Sound good, John? - That sounds good. Great."
"00:21:15,607","00:21:16,607","Hey, John?"
"00:21:16,807","00:21:17,807",Thank you for your vote of confidence.
"00:21:18,990","00:21:21,788","And, Welcome to the Investors Center. <i>- Yeah, thanks alot. Bye.</i>"
"00:21:26,614","00:21:28,216",How’d you fuckin’ do that?
"00:21:30,487","00:21:32,375",Just like that I made two grand.
"00:21:32,450","00:21:35,120","The other guys looked at me like, I’d just discovered fire."
"00:21:37,370","00:21:38,570",Great! Even better!
"00:21:38,770","00:21:40,070",I was selling garbage to garbage men.
"00:21:40,550","00:21:41,750","And, making cash hand over fist."
"00:21:42,080","00:21:44,953","The only problem you're gonna have is, that you didn't buy more."
"00:21:45,270","00:21:46,250",Boom..Shakalak!
"00:21:46,710","00:21:48,210","So, I was selling them shit."
"00:21:48,510","00:21:50,053","The way I look at it,"
"00:21:50,253","00:21:52,202",Their money was better off in my apartment.
"00:21:52,402","00:21:54,570",I knew how to spend it better.
"00:21:54,770","00:21:55,706",Excuse me.
"00:21:55,906","00:21:57,050","Is that your car, in the lot?"
"00:21:57,250","00:21:58,250",Yeah.
"00:21:58,450","00:22:00,387",That's a nice ride. - Thanks man.
"00:22:00,587","00:22:01,587",Donnie Azoff.
"00:22:02,370","00:22:03,490",Jordan Belfort. Nice to meet you.
"00:22:04,370","00:22:07,284","You know, I’ve seen it around. I've seen it around a lot."
"00:22:07,484","00:22:10,585","I think, we live in the same building. - No, shit?"
"00:22:10,785","00:22:13,148",Twelfth floor? - Yeah. What floor are you on?
"00:22:13,348","00:22:16,174","Fourth floor. I have a four year old kid, ugly wife?"
"00:22:17,530","00:22:18,570","So, what do you do, bro?"
"00:22:20,331","00:22:21,739","What do you mean, what do I do?"
"00:22:21,939","00:22:22,939",For work? What do you do?
"00:22:23,139","00:22:24,139",I'm a Stock broker.
"00:22:24,339","00:22:26,293",Stock broker? - Yeah.
"00:22:26,493","00:22:27,493",Childrens Furniture.
"00:22:27,920","00:22:28,950","Oh, good for you."
"00:22:29,150","00:22:30,150",It's all right.
"00:22:30,350","00:22:32,423",You make a lot of money?
"00:22:34,026","00:22:35,562","Yeah, I do alright for myself."
"00:22:35,762","00:22:36,762",I'm trying..to put it together.
"00:22:36,962","00:22:39,933",Your fucking nice car? We live in the same building?
"00:22:40,133","00:22:41,133",I'm not understanding...
"00:22:41,290","00:22:42,270",How much money do you make?
"00:22:44,512","00:22:46,627",I don't know. Seventy Thousand last month.
"00:22:46,827","00:22:47,827",Get the fuck..!
"00:22:48,520","00:22:50,310",Get the fuck out of here.
"00:22:50,510","00:22:51,510",I'm serious.
"00:22:51,710","00:22:52,710","No, i'm serious too."
"00:22:52,910","00:22:54,637","Seriously, how much money do you make?"
"00:22:54,837","00:22:55,837","I told you,"
"00:22:56,037","00:22:57,037",70 thousand.
"00:22:57,237","00:23:00,855","Well, technically. 72 thousand last month."
"00:23:01,055","00:23:02,055",Somethin like that.
"00:23:03,351","00:23:06,119",You make 72 grand a month? - Yeah.
"00:23:10,480","00:23:11,330",Tell you what.
"00:23:12,790","00:23:15,541","You show me a pay stub with $72,000 on it,"
"00:23:15,741","00:23:17,878",I’ll quit my job right now and I'll work for you.
"00:23:24,910","00:23:26,693","Hey, Paulie. What's up?"
"00:23:26,893","00:23:27,893","No, yeah..everything's fine."
